SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.89394605,55,0,4015.0,,9,0,2,0,2.0
0,0.014451426000000002,51,0,0.14010616,8100.0,10,0,1,0,0.0
0,0.073953912,58,0,0.329160803,13500.0,7,0,3,0,0.0
0,0.028539393,63,0,1905.0,,11,0,2,0,3.0
0,0.040986389,49,0,0.004760771,8401.0,6,0,0,0,4.0
0,0.0,60,0,4463.0,,8,0,2,0,0.0
0,0.15072627800000002,63,0,0.34986005600000003,2500.0,5,0,1,0,1.0
0,0.215906469,41,0,0.078653558,6000.0,4,0,0,0,3.0
0,0.075276407,49,1,0.131448571,22000.0,16,0,2,0,4.0
0,0.091896937,66,0,0.259158444,8816.0,5,0,1,0,0.0
0,0.015274166,29,0,0.6322805579999999,4875.0,9,0,2,0,0.0
0,0.02416639,41,0,0.148485739,3400.0,8,0,0,0,1.0
0,0.0,73,0,0.323419145,4000.0,4,0,1,0,0.0
0,0.9999998999999999,48,0,216.0,,2,0,0,0,
1,0.868149281,41,0,2894.0,,11,0,2,1,0.0
1,0.135331131,52,0,0.41075721200000004,9983.0,17,0,5,1,3.0
0,0.019596081,70,0,2.0,,1,0,0,0,0.0
0,0.883255089,54,0,3637.0,,16,0,0,0,1.0
0,0.18325286899999998,54,0,1.363588529,3800.0,19,0,2,0,0.0
0,0.012714951,68,0,941.0,,6,0,1,0,
0,0.011720758000000001,55,0,0.339665084,4000.0,14,0,2,0,1.0
0,0.292296173,32,0,0.570085983,5000.0,16,0,2,0,2.0
0,0.061187762,34,1,0.002221674,4050.0,1,0,0,0,1.0
0,0.289694735,52,0,0.459734167,2557.0,8,0,0,0,0.0
0,0.656311456,49,0,0.336333061,11000.0,4,0,1,0,8.0
0,0.9999998999999999,29,0,0.0011104939999999998,1800.0,1,0,0,0,0.0
0,0.010731271,56,0,0.12518833,7300.0,4,1,0,0,0.0
0,0.557803246,30,0,0.22681843399999999,3601.0,9,0,0,0,1.0
0,0.9999998999999999,43,0,0.0,1500.0,0,0,0,0,1.0
0,0.18240037399999998,63,0,0.41284403700000005,3160.0,12,0,1,0,0.0
0,0.141266306,47,0,0.221635544,7764.0,4,0,1,0,1.0
0,0.006224922,53,0,0.226361449,13716.0,14,0,2,0,1.0
0,0.35784856200000004,45,0,0.44524438,12500.0,12,0,2,0,1.0
0,0.011241408,64,0,0.22116556899999998,4100.0,13,0,1,0,1.0
1,0.105526599,82,0,0.673932788,1100.0,12,0,0,0,0.0
0,0.014296033999999999,47,0,0.25646340100000004,9166.0,8,0,2,0,0.0
0,0.894471827,50,0,0.251582806,3000.0,3,0,0,0,1.0
0,0.766242518,56,0,0.636671655,35416.0,25,0,5,0,4.0
0,0.117937167,53,0,0.31558004300000003,9800.0,10,0,2,0,0.0
0,0.289410777,72,0,0.43612334799999997,5674.0,13,0,2,0,0.0
1,0.995053527,55,0,0.5793893729999999,12740.0,13,0,1,0,2.0
0,0.0,64,0,0.0,,1,0,0,0,1.0
0,0.09446421,44,0,0.225266018,8833.0,11,0,2,0,6.0
0,0.9877886909999999,45,4,0.176627416,4500.0,5,3,0,2,4.0
0,0.928168377,38,1,0.376124775,5000.0,8,0,0,0,2.0
0,0.295405568,63,1,1575.0,,2,0,1,0,
0,0.52645984,63,0,0.337765081,9100.0,14,0,1,0,0.0
0,0.620189905,39,0,0.156333631,4483.0,4,0,0,0,3.0
1,0.078434773,42,0,0.250249917,3000.0,6,0,0,0,0.0
1,0.79568953,44,2,0.8155859609999999,1680.0,5,0,0,1,3.0
0,0.019668694,60,0,0.281565791,9400.0,16,0,2,0,1.0
0,1.491694352,50,1,0.02029688,3300.0,1,0,0,0,0.0
0,0.7541638909999999,70,3,0.470846645,2503.0,6,0,1,0,0.0
0,0.0,82,0,0.21327409100000003,3600.0,9,0,1,0,0.0
0,0.918643403,47,0,814.0,,3,2,0,0,0.0
0,0.032353493,55,0,2175.0,,6,0,2,0,0.0
1,0.946843854,29,0,361.0,,2,9,0,0,0.0
0,0.224029848,55,0,0.466543294,10266.0,10,0,2,0,2.0
0,0.461496096,83,0,0.206213482,14033.0,10,0,1,0,1.0
0,0.10390821800000001,34,0,0.17440750800000002,12573.0,5,0,2,1,0.0
0,0.9999998999999999,34,0,0.013027083,2916.0,1,0,0,0,1.0
0,0.9999998999999999,81,0,0.153258795,11000.0,4,0,3,0,0.0
0,0.836832633,61,0,0.050189962000000005,5000.0,2,0,0,0,0.0
0,0.6938847290000001,31,0,0.375387797,2900.0,5,0,0,0,0.0
0,0.0,77,0,0.445319335,8000.0,8,0,2,0,0.0
0,0.051826269,61,0,0.206959103,6063.0,4,0,2,0,0.0
0,0.11934888800000001,38,0,0.8383975229999999,5166.0,10,0,1,0,1.0
0,0.60369641,43,1,0.408397901,4000.0,5,0,1,0,3.0
0,0.33579440899999996,36,0,0.172642995,5716.0,4,0,0,0,2.0
1,0.096071141,47,0,0.22044914399999999,20616.0,7,0,1,0,1.0
0,0.13492025400000002,48,0,0.386550172,7553.0,14,0,2,0,1.0
0,0.6312159270000001,62,2,0.41338091,5604.0,10,0,1,0,1.0
0,0.0,39,0,9428.0,,10,0,2,0,2.0
0,0.888111888,26,0,0.192898273,2083.0,2,1,0,1,0.0
0,0.665264313,61,2,1765.0,,9,0,2,0,0.0
0,0.023414715,51,0,2606.0,,8,0,2,0,2.0
0,0.015023901999999999,67,0,0.00465616,2791.0,5,0,0,0,0.0
0,0.035572859,49,0,0.31590949,5700.0,18,0,3,0,1.0
0,0.00995645,59,0,0.336575549,11925.0,17,0,2,0,0.0
0,0.9664134959999999,66,8,0.672762104,5741.0,10,1,1,0,0.0
0,0.416826311,61,0,0.762877635,4600.0,20,0,2,0,1.0
0,0.0029771809999999998,49,0,0.159735268,34600.0,14,0,3,0,3.0
0,0.026406264,90,0,26.0,,7,0,0,0,
0,0.733537122,43,0,0.544308999,7300.0,11,0,3,0,1.0
0,0.307018379,59,0,0.17793194,10666.0,12,0,1,0,0.0
0,0.022939541,56,0,0.510289991,2137.0,11,0,1,0,1.0
0,0.003999784,80,0,2.0,,7,0,0,0,0.0
0,0.038730327,55,0,0.119191332,13750.0,8,0,2,0,1.0
0,0.578671423,44,0,0.375690608,3800.0,5,1,1,0,1.0
1,0.9999998999999999,56,0,0.0,,0,1,0,0,0.0
0,0.428916244,62,0,0.31762065100000003,2672.0,12,0,0,0,0.0
0,0.239835983,43,0,0.34389248899999997,8333.0,9,0,2,0,3.0
0,0.045619075999999995,48,0,0.266546691,5000.0,8,0,1,0,1.0
0,0.042974319000000004,35,0,0.943369061,6250.0,9,0,2,0,0.0
0,0.9999998999999999,48,0,0.466680951,4666.0,4,0,1,0,1.0
0,0.019184475,72,0,1.452987384,4200.0,11,0,4,0,0.0
0,0.645627043,42,0,0.320766227,8195.0,12,0,1,0,0.0
0,0.47568357299999997,35,0,0.48970206,5000.0,7,0,1,0,1.0
0,0.665572494,39,1,0.273574188,4400.0,8,0,0,0,2.0
0,0.06443716,70,0,0.025866813,1816.0,4,0,0,0,1.0
0,0.011613372,58,1,0.497409981,7914.0,12,0,2,0,2.0
0,0.084627125,69,0,0.192229039,4400.0,5,0,0,0,1.0
0,0.017134002,67,0,0.005013193,3789.0,10,0,0,0,0.0
0,0.165803271,58,4,0.41317105,4600.0,14,0,1,0,0.0
0,0.172548602,58,0,0.5195655920000001,5800.0,8,0,2,0,0.0
0,0.093927105,41,0,1.3766438719999998,1900.0,17,0,2,0,3.0
0,0.46384972399999996,53,0,0.154144549,9795.0,27,0,0,0,0.0
0,0.031737382,47,0,6063.0,,12,0,3,0,2.0
0,0.9999998999999999,28,0,0.0,2000.0,0,1,0,0,1.0
0,0.023752773999999997,50,0,0.319079306,9166.0,6,0,1,0,2.0
0,0.025295359,73,0,0.13415628300000002,8586.0,12,0,2,0,0.0
0,0.276878626,51,0,0.136909065,6916.0,8,0,0,0,0.0
0,0.61345066,46,1,1808.5,1.0,4,0,1,0,3.0
0,0.9999998999999999,44,1,2853.0,,8,0,1,0,0.0
0,0.0,67,0,0.0,,1,0,0,0,0.0
1,0.041548777,50,2,0.35992001799999995,4500.0,9,0,2,0,2.0
0,0.07932154799999999,45,0,0.280541012,9167.0,16,0,2,0,0.0
0,0.00559972,67,0,111.0,,6,0,0,0,0.0
0,0.015062593,77,0,23.0,,12,0,0,0,
0,0.23461532,53,0,0.056403797,32550.0,16,0,0,0,1.0
0,0.082002413,49,0,0.082468559,14550.0,10,0,0,0,1.0
1,0.172321257,48,0,0.668495029,2916.0,7,0,1,0,0.0
0,0.332876381,61,0,1654.0,,15,0,1,0,2.0
0,0.7095036490000001,58,0,0.625178535,4900.0,9,0,2,0,0.0
0,0.25497897,56,0,0.18251569399999998,4300.0,6,0,0,0,1.0
0,0.0012856880000000001,54,0,0.07175426,8333.0,8,0,0,0,0.0
0,0.179117577,82,0,0.291961072,7500.0,11,0,1,0,0.0
0,0.011904659,64,0,0.005290383,8505.0,16,0,0,0,0.0
0,0.015890302,59,0,0.253457757,6000.0,11,0,1,0,2.0
0,0.082904285,48,0,0.29890473,16342.0,10,0,3,0,2.0
0,0.176063826,68,0,0.314062358,11000.0,15,0,2,0,1.0
0,0.206215779,42,0,2130.0,,11,0,1,0,0.0
0,0.0,70,0,0.0,,4,0,0,0,0.0
0,0.734639457,45,0,5533.0,,11,0,2,0,0.0
0,0.91805463,23,0,0.10191082800000001,3610.0,4,0,0,0,2.0
0,0.058443361,77,0,0.09788287,7273.0,8,0,1,0,0.0
0,0.13114880199999998,50,0,792.0,,4,0,1,0,5.0
0,0.077842793,84,0,0.030468936000000002,4200.0,9,0,0,0,0.0
0,0.442368548,40,0,0.144009031,6200.0,4,0,0,0,0.0
0,0.9999998999999999,22,0,138.0,,1,0,0,0,0.0
0,0.176038324,52,0,0.109729254,18171.0,3,0,1,0,2.0
0,0.030473623,80,0,0.379124175,8334.0,10,0,2,0,1.0
0,0.04419644,78,0,52.0,,4,0,0,0,
0,0.014133325,61,0,0.0032497290000000002,12000.0,13,0,0,0,0.0
0,0.060975787999999996,61,0,0.020847231,5995.0,6,0,0,0,1.0
0,0.21521395899999998,54,0,1626.0,,3,0,1,0,0.0
0,0.15141895800000002,27,1,0.154187958,4500.0,8,0,0,0,0.0
0,0.343204105,59,0,938.0,,12,0,0,0,
0,0.10422626300000001,80,0,1335.0,,5,1,1,0,0.0
0,0.00979951,90,0,0.106004448,4046.0,3,0,0,0,0.0
0,0.46413939600000004,34,0,0.206378251,7650.0,13,0,0,0,1.0
0,0.38126193799999997,54,0,0.7084252320000001,6800.0,12,0,2,0,2.0
0,0.042950336,40,0,0.009252913,2917.0,1,0,0,0,0.0
0,0.19797335,70,0,0.38714838,7500.0,21,0,1,0,1.0
0,0.020452138,51,0,0.032213274,3600.0,57,0,0,0,0.0
0,0.030082557000000003,78,0,0.111256545,4583.0,9,0,1,0,0.0
0,0.511774928,68,0,2.091954023,2000.0,17,0,2,0,0.0
0,0.384673734,49,0,0.36343642600000003,7274.0,18,0,2,0,1.0
0,0.317008275,42,0,0.417993203,5590.0,11,0,1,0,4.0
0,0.435761392,47,1,0.125854891,13451.0,11,0,1,0,0.0
0,0.072950324,50,0,0.36343182799999996,6666.0,14,0,1,0,4.0
0,0.03522786,50,1,2.718080548,1166.0,10,0,4,1,2.0
0,0.476039814,40,0,0.15253039300000001,7073.0,8,0,0,0,2.0
0,0.443297514,42,0,0.564644245,5916.0,9,0,1,0,2.0
0,0.036997945,87,0,19.0,,7,0,0,0,0.0
0,0.489201406,55,0,0.371325735,5000.0,6,0,1,0,1.0
0,0.0,33,1,0.130108736,8000.0,12,0,0,0,2.0
0,0.009428235,51,0,0.8600636070000001,2200.0,9,0,1,0,2.0
0,0.04061291,62,0,0.19108449800000002,7514.0,11,0,1,0,0.0
0,0.186792769,59,0,0.27289878300000003,10600.0,10,0,1,0,0.0
0,0.069563705,73,0,3543.0,,5,0,1,0,0.0
1,0.647576388,53,1,3957.0,,13,1,2,0,0.0
0,0.243543326,64,0,0.325477917,12135.0,6,0,2,0,1.0
0,0.019675968999999998,66,0,51.0,,16,1,0,0,0.0
0,0.124171276,69,0,0.062420835,45000.0,9,0,3,0,1.0
0,0.116025256,45,0,10244.0,,13,0,4,0,0.0
0,0.052932451,74,0,0.432069627,6778.0,9,0,1,0,0.0
0,0.037600657,51,0,0.285503395,16934.0,11,0,2,0,3.0
0,0.0,59,0,0.445027749,6666.0,4,0,2,0,0.0
1,0.507542973,77,0,0.667719021,3800.0,12,0,1,0,0.0
1,0.817471139,49,4,0.823552658,5060.0,9,1,5,0,2.0
0,1.463571889,42,0,0.189170665,2917.0,6,2,0,2,2.0
0,0.052703757999999996,74,0,0.24985983899999997,5350.0,11,0,1,0,0.0
0,0.9999998999999999,50,0,514.0,,1,0,0,0,0.0
0,0.105051578,46,0,0.461408993,8317.0,14,0,1,0,4.0
0,0.672427966,60,0,0.7948595909999999,6302.0,18,0,1,0,0.0
0,0.268685177,34,0,0.330834583,2000.0,7,0,0,0,0.0
0,0.2009124,50,0,0.740378633,11250.0,12,0,3,0,1.0
0,0.418826156,30,0,0.338341092,4725.0,12,0,0,0,1.0
0,0.9999998999999999,70,0,2528.0,,4,0,1,0,1.0
0,0.824716342,40,0,0.975708502,5680.0,17,0,2,0,2.0
0,0.170656892,49,0,0.37343776,6000.0,12,0,2,0,0.0
0,0.313394846,63,0,0.44230500899999997,7166.0,10,0,2,0,0.0
0,0.30228961,59,0,0.46682863,5350.0,19,0,1,0,0.0
0,0.001582981,45,0,1.507910075,1200.0,15,0,3,0,2.0
0,0.37919052,69,0,0.457814419,5700.0,3,0,2,0,0.0
0,0.088836447,71,0,0.010550235,6160.0,5,0,0,0,0.0
0,0.042875505999999994,52,0,0.513702514,5290.0,12,0,2,0,2.0
0,0.0,55,0,825.0,,3,0,1,0,0.0
0,0.17625199100000002,48,0,2066.0,,4,0,1,0,1.0
0,0.266860571,28,0,0.076574877,2650.0,3,0,0,0,0.0
0,0.8390777559999999,29,0,0.163916863,4666.0,10,0,0,0,0.0
1,0.022255555,40,4,0.026303646,2166.0,16,0,0,0,0.0
0,0.213545338,61,0,0.499711594,5200.0,7,0,1,0,1.0
0,0.131390646,55,0,0.546362066,5208.0,14,0,1,0,3.0
0,0.799493401,41,2,0.627131935,5100.0,10,0,1,0,2.0
0,0.244868327,51,0,0.10878128599999999,16500.0,11,0,0,0,0.0
0,0.016602648,74,0,0.00428449,3500.0,2,0,0,0,0.0
0,0.223677632,35,0,0.375291634,9000.0,7,0,1,0,0.0
0,1.08946424,34,1,63.5,1.0,2,0,0,1,0.0
0,0.09105444300000001,68,0,0.056991858,7000.0,7,0,0,0,0.0
0,0.44318852200000003,61,0,0.355328934,5000.0,11,0,1,0,0.0
0,0.055769442,39,0,0.08987281,8333.0,4,0,0,0,2.0
0,0.020453616,48,0,0.471968709,2300.0,13,0,2,0,2.0
0,0.9999998999999999,37,0,2443.0,0.0,8,1,2,0,2.0
0,0.010256191,68,0,0.001333206,10500.0,8,0,0,0,0.0
0,0.84390033,34,0,0.154004999,9200.0,7,0,0,0,1.0
0,0.175129948,25,0,157.0,,6,0,0,0,0.0
0,0.572816255,62,0,0.942540995,7500.0,28,0,2,0,0.0
0,0.038947719,55,0,0.16074339699999998,9200.0,8,0,2,0,0.0
0,0.272667214,62,0,0.44724668,6700.0,7,0,1,0,0.0
0,0.09996530599999999,37,0,0.693374217,7500.0,20,0,2,0,2.0
0,0.23784933,73,3,0.661387089,4166.0,19,0,1,0,1.0
0,0.169546323,51,1,0.401356901,5600.0,12,0,3,0,2.0
0,0.602291245,60,2,1.275761368,2396.0,10,0,1,0,0.0
0,0.251712984,32,0,0.167733675,3123.0,9,0,0,0,0.0
0,0.038838744,79,0,363.0,,13,0,1,0,0.0
0,0.13838673,41,0,0.452062132,5600.0,9,0,1,0,0.0
1,0.577449623,35,1,0.47316072,6333.0,6,0,2,0,0.0
0,0.023211067999999998,60,1,0.484543011,5951.0,21,0,3,0,0.0
0,0.514684036,51,0,0.405937548,6500.0,6,0,1,0,1.0
0,0.031822088,57,0,64.0,,6,0,0,0,0.0
0,0.161596151,50,0,0.402162824,4900.0,4,0,2,0,0.0
0,0.295889901,61,0,0.409097515,6880.0,8,0,2,0,0.0
0,0.376795815,62,0,0.171591565,15600.0,7,0,2,0,0.0
0,0.9999998999999999,51,0,369.0,,3,0,0,0,0.0
0,0.000415993,50,0,0.08624734699999999,8950.0,7,0,0,0,0.0
0,0.853985793,56,2,0.159141377,2701.0,8,1,0,0,0.0
0,0.028306289,67,0,0.008690777,7133.0,4,0,0,0,0.0
0,0.0,67,0,39.0,,6,0,0,0,0.0
0,0.011694336999999999,51,0,0.010799712,37500.0,48,0,0,0,0.0
0,0.156897588,51,0,0.173103385,10900.0,7,0,1,0,0.0
0,0.171930234,65,0,8734.0,,27,0,3,0,0.0
0,0.025760678,48,0,0.414352366,4500.0,6,0,1,0,0.0
0,0.0,59,0,0.165202486,4666.0,9,0,1,0,0.0
0,0.555610418,50,0,1.4809634809999999,3860.0,11,0,4,0,2.0
0,0.123031813,40,0,0.292302388,11600.0,7,0,2,0,3.0
0,0.9999998999999999,41,0,0.30066603199999997,1050.0,2,0,0,0,1.0
0,0.9895925990000001,42,0,0.489888869,5488.0,9,0,1,0,3.0
0,0.633624035,31,0,0.12220133300000001,5850.0,4,0,0,0,0.0
0,0.036432119,68,0,0.289932574,4300.0,7,0,1,0,1.0
1,0.534054169,68,0,5298.0,,7,0,1,1,0.0
0,0.001562419,52,0,0.33655893200000003,5166.0,12,0,1,0,0.0
0,0.109361001,33,0,0.256365233,6833.0,7,0,2,0,1.0
0,0.061546922999999996,46,0,0.00833179,5400.0,1,0,0,0,2.0
0,0.030728132000000002,78,0,0.059310577999999996,5917.0,9,0,1,0,1.0
0,0.137395601,59,1,0.44891157200000004,9600.0,10,0,2,0,0.0
0,0.603585798,65,0,0.284407028,2731.0,3,0,0,0,0.0
0,0.133573285,82,0,20.0,,1,0,0,0,0.0
0,0.06022636,37,0,3549.0,,12,0,2,0,0.0
0,0.17071936899999998,42,2,0.68890598,5200.0,18,0,2,0,4.0
0,0.221318283,36,0,0.618827873,6500.0,12,0,2,0,1.0
1,0.9999998999999999,40,1,569.0,,2,1,0,0,0.0
0,0.20818915,47,0,0.49136475799999996,7700.0,13,0,3,0,0.0
0,0.17912935300000002,49,1,0.175882412,10000.0,6,0,1,0,4.0
0,0.9999998999999999,50,1,0.200315102,4442.0,2,1,1,0,3.0
0,0.827952728,71,0,0.278292411,17919.0,16,0,2,0,0.0
0,0.585050838,71,1,0.589148411,6892.0,9,0,3,0,0.0
0,0.040957158,52,0,0.5304548960000001,3890.0,8,0,2,0,3.0
0,0.47784465200000004,40,0,0.010829983999999999,53000.0,6,0,0,0,0.0
0,0.001099963,57,0,0.30337333,8833.0,10,0,2,0,0.0
0,0.022153571,67,0,0.090041419,5552.0,5,0,0,0,0.0
0,0.022780051000000003,53,0,0.323067693,10000.0,14,0,2,0,1.0
0,0.9999998999999999,68,0,0.303575714,8333.0,5,0,2,0,0.0
0,0.0,24,0,0.0,2655.0,2,0,0,0,0.0
0,0.031702581,37,0,0.146887275,8400.0,9,0,1,0,1.0
0,0.008628078,95,0,4.0,,2,0,0,0,0.0
0,0.084175667,39,0,0.05265789,6000.0,14,0,0,1,2.0
0,0.477406371,46,0,0.541642568,3457.0,9,0,1,0,3.0
0,1.00199992,60,0,1.307692308,4640.0,7,0,1,0,1.0
0,0.024646334,86,0,24.0,,4,0,0,0,
0,0.296882102,60,0,3915.0,,12,0,1,0,0.0
0,0.25684592,72,0,0.136929461,8916.0,10,0,0,1,0.0
0,0.040385525,47,0,0.33957455200000003,10200.0,18,0,2,0,2.0
0,1.006451405,57,0,0.34736332799999997,6200.0,6,0,1,0,3.0
0,0.239247999,54,0,0.45377733600000003,14083.0,10,0,3,0,2.0
0,0.242756125,65,0,305.0,,3,0,0,0,
0,0.103245251,59,0,2194.0,,8,0,2,0,0.0
0,1.067986403,39,2,0.367126575,5000.0,9,2,0,0,2.0
0,0.878671775,38,1,0.17505892399999998,4666.0,4,2,0,5,0.0
0,0.858969887,69,0,0.011033389,41600.0,9,0,0,0,0.0
0,0.709677419,67,0,0.127052106,1400.0,2,0,0,0,0.0
0,0.138035131,63,0,0.29403172,4791.0,10,0,1,0,0.0
0,0.15358195800000002,39,0,0.175304116,6000.0,7,0,1,0,2.0
0,0.009083697,51,0,2401.0,,18,0,1,0,0.0
0,0.142444145,58,0,1428.0,,12,0,1,0,0.0
0,0.9999998999999999,25,0,0.026243439,4000.0,6,0,0,0,0.0
0,0.019091634,79,0,0.17564575600000001,4064.0,8,0,1,0,0.0
0,0.103007061,68,0,86.0,,7,0,0,0,0.0
0,0.023227819,61,0,0.199021207,4290.0,5,0,0,0,0.0
0,0.9846010270000001,66,1,0.699693217,8800.0,5,0,3,0,1.0
0,0.429736694,39,3,3359.0,,14,0,2,0,0.0
0,0.8979392759999999,48,0,0.5757103929999999,2568.0,8,0,1,0,2.0
0,0.006944123000000001,43,0,0.275107604,5575.0,6,0,1,0,2.0
0,0.9999998999999999,46,0,0.037566353999999996,2448.0,1,0,0,0,1.0
0,1.125249833,38,0,0.129322556,12000.0,10,0,1,0,1.0
1,0.014528557,73,0,0.263962291,7000.0,7,0,1,0,0.0
0,0.11647478800000001,47,0,0.315550287,5060.0,12,0,1,0,2.0
0,0.016494269,40,0,264.0,,7,0,0,0,1.0
0,0.080951606,47,0,0.562946845,3216.0,6,0,1,0,1.0
0,0.072588187,34,0,0.9935737240000001,2800.0,12,0,1,0,0.0
0,0.08702004199999999,53,0,0.209129512,5651.0,11,0,1,0,2.0
0,0.031093753,76,0,0.008839779,5429.0,8,0,0,0,0.0
0,0.9999998999999999,64,0,0.33672335700000006,11700.0,3,0,1,0,0.0
0,0.026970657999999998,77,0,28.0,,3,0,0,0,
0,0.0,42,1,0.481403719,3333.0,7,0,1,0,1.0
0,0.7877531729999999,65,3,0.44127936,2000.0,14,0,0,0,0.0
0,0.20065064100000002,65,0,0.505232315,2388.0,6,0,1,0,0.0
0,0.162653112,31,0,1700.0,,5,0,1,0,0.0
0,0.04390776,54,0,0.42709599,6583.0,10,0,2,0,2.0
0,0.793508731,51,0,0.37143274200000004,13700.0,17,0,1,0,3.0
0,0.069986003,47,0,1876.0,,5,0,1,0,0.0
0,0.9999998999999999,23,0,0.0,847.0,1,0,0,0,0.0
0,0.17803718300000002,48,0,0.48629573,8500.0,10,0,2,0,0.0
0,0.016671733,69,0,0.26279457300000003,4200.0,9,0,1,0,0.0
0,0.478502407,50,0,2427.0,,17,0,2,0,0.0
0,0.009093954,61,0,0.268928278,8518.0,20,0,1,0,0.0
0,0.012834756999999999,37,0,0.24993751600000003,4000.0,8,0,1,0,2.0
0,0.0042721320000000005,75,0,0.202824948,6300.0,30,0,2,0,1.0
1,1.198880299,37,2,0.478664524,5600.0,6,3,1,3,3.0
0,0.9796614020000001,46,1,0.56095936,1500.0,4,2,0,0,3.0
0,0.9999998999999999,39,0,0.120575885,5000.0,4,0,1,0,0.0
0,0.072619941,52,0,2759.0,,10,0,1,0,0.0
0,0.016185796000000002,70,0,1950.0,,10,0,1,0,0.0
0,0.613071472,65,0,2959.0,,7,0,2,0,0.0
0,0.10114137599999999,40,0,0.966413435,2500.0,10,0,2,0,1.0
1,0.13879773,43,0,0.369377588,14250.0,10,0,1,0,2.0
0,0.069562193,60,1,214.0,1.0,3,0,0,0,0.0
0,0.009030221,52,0,2498.0,,5,0,2,0,
0,0.071471176,41,0,0.379172435,6500.0,5,0,2,0,3.0
0,0.884033133,36,0,0.34261199200000003,10022.0,8,0,2,0,0.0
0,0.6718435429999999,51,0,0.44047460299999996,7500.0,8,0,1,0,1.0
0,0.921179803,44,1,0.253757126,5788.0,5,1,0,0,2.0
0,0.394828326,66,0,0.46069570000000004,3650.0,12,0,1,0,0.0
0,0.029847468999999998,72,0,52.0,,7,0,0,0,1.0
0,0.121373594,73,0,0.7646062659999999,1180.0,9,0,1,0,0.0
0,0.47993273,56,0,0.7076965820000001,3598.0,9,0,2,0,1.0
0,0.069114471,63,0,1238.0,,6,0,1,0,0.0
0,0.8347754620000001,60,1,1.06117553,2500.0,11,0,1,0,0.0
0,0.014123644,43,0,0.296855117,5500.0,10,0,1,0,0.0
0,0.10467404300000001,69,0,0.34768003399999997,4762.0,6,0,2,0,0.0
0,0.719017413,55,0,0.244023083,10916.0,9,0,2,0,1.0
0,0.019902146000000003,39,0,977.0,,9,0,1,0,0.0
0,0.00242548,58,0,3.0,,5,0,0,0,0.0
0,0.0,49,0,0.585138287,3000.0,8,0,3,0,4.0
1,0.0,30,1,0.071758191,4333.0,4,0,0,1,0.0
0,0.12046775400000001,48,0,0.372090618,9666.0,6,0,2,0,2.0
0,0.423849655,63,0,0.82919166,3500.0,11,0,1,0,0.0
0,0.9999998999999999,56,1,1.0466493890000002,2700.0,8,0,2,0,2.0
0,0.62321256,49,1,0.383282229,7500.0,11,0,2,0,0.0
0,0.376194095,39,0,0.315836833,3333.0,14,0,0,0,2.0
